,lasso,elasticnet
0,0.7710772514750615,0.7919814813216594
1,-33.00238591758207,-33.08817727903728
2,2.9091799158689375,2.9706422648619917
3,-10.821401807595437,-10.75314369727395
4,-3.9735088202823428,-4.09472299941988
5,-7.269037159398063,-7.406108111895034
6,-10.616454360601367,-10.628860457359373
7,-12.063850735501928,-11.954919031909021
8,-10.982846163545934,-11.168435350112286
9,-22.86014697271114,-22.779914384448325
10,-33.00238591758207,-33.08817727903728
11,-24.816251370501035,-24.956260269353358
12,4.013227931077621,3.917308485316965
13,3.431911540743413,3.4711056410393417
14,-13.73089340269472,-13.716745356745545
15,-18.06832960489089,-18.100153491891735
16,-12.110954202438078,-12.140741592071393
17,-16.134890524669988,-16.29245478562646
18,-25.279613749494676,-25.265129886074703
19,-5.678530577370075,-5.604274586550938
20,1.1964667112402982,1.2389604637798308
21,-18.711561449105435,-18.747231266885915
22,-15.264855590336392,-15.1178505482254
23,0.9156031034565906,0.884961637748009
24,1.0072054957795682,0.9230013550624596
25,-13.615935343448339,-13.67989588538471
26,-11.826809281576347,-11.854060789090637
27,-1.8313108889834149,-1.8679738144902451
28,-2.8237916844101094,-2.698411464358222
29,3.583461445690722,3.5105295228345645
30,-10.263785788040739,-10.234253819865367
31,7.500438659026446,7.676000087873324
32,-9.942107554759797,-9.751202668454036
33,13.48563020790502,13.42210927272855
34,-6.583941912854921,-6.621935792894247
35,-6.583941912854921,-6.621935792894247
36,-12.576681647085229,-12.693055679396346
37,-17.943078121286682,-17.89695330014371
38,-19.887362977128934,-19.609636750464954
39,-17.943078121286682,-17.89695330014371
40,-23.16080001265296,-23.069428225691308
41,-9.768512857461422,-9.68113160835936
42,-9.768512857461422,-9.68113160835936
43,-23.16080001265296,-23.069428225691308
44,-4.815972527086493,-4.715101013695641
45,-21.252844218030386,-21.23562523581904
46,-26.432289139334983,-26.432346707089124
47,-21.252844218030386,-21.23562523581904
48,-5.4601762756804515,-5.463306721152519
49,-5.4601762756804515,-5.463306721152519
50,-6.449174344264133,-6.606844658062534
