,concentration,reference_energy,hull_energy,file_location
618,0.2727272727272727,-22.63566069444541,-25.892246674981642,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus011_finished/run_final/OUTCAR
619,0.07692307692307693,-2.2495471249996513,-7.4904786587766825,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus114_finished/run_final/OUTCAR
620,0.625,-24.91884913793138,-27.32978922222277,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus015_finished/run_final/OUTCAR
621,0.3333333333333333,-26.407715899999857,-30.020756098868112,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus136_finished/run_final/OUTCAR
622,0.2,-13.848535520833613,-19.475244512819373,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus166_finished/run_final/OUTCAR
623,0.3333333333333333,-25.880077250000255,-30.020756098868112,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus069_finished/run_final/OUTCAR
624,0.25,-19.625875512821413,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus020_finished/run_final/OUTCAR
625,0.625,-24.7130705172416,-27.32978922222277,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus013_finished/run_final/OUTCAR
626,0.3333333333333333,-27.187022900000102,-30.020756098868112,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus075_finished/run_final/OUTCAR
627,0.5,-32.873343571429544,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus021_finished/run_final/OUTCAR
628,0.13333333333333333,-7.122897234042507,-12.983496341879581,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus118_finished/run_final/OUTCAR
629,0.26666666666666666,-19.781985510203924,-25.479395732592995,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus079_finished/run_final/OUTCAR
630,0.25,-15.97074153846078,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus004_finished/run_final/OUTCAR
631,0.2857142857142857,-20.957736521740134,-26.776927265814457,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus089_finished/run_final/OUTCAR
632,0.2727272727272727,-19.342810416667078,-25.892246674981642,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus129_finished/run_final/OUTCAR
633,0.3333333333333333,-29.543865000000125,-30.020756098868112,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/03_Markus_approved_low_energy_data/re-relax_Markus034_finished/run_final/OUTCAR
